input_text,simplified_phrase
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately stay inside your vehicle and wait for emergency responders to ensure your safety.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Kindly turn off the main gas valve and evacuate the premises and stay calm.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Action required: activate the fire alarm on your way out of the corridor as instructed.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Attention: secure all loose objects and stay away from glass panels while waiting for responders.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you find a safe place to hide and stay quiet until help arrives immediately.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: You must call an ambulance and wait outside for them to arrive as instructed.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: You must move away from the windows and find a secure room carefully.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: You must find a safe place to hide and stay quiet until help arrives and help others if you can.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you stay away from electrical outlets and avoid using wired devices.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Attention: do not drink the tap water, use bottled water instead.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately do not drink the tap water, use bottled water instead and stay calm.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately find a safe place to hide and stay quiet until help arrives.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please drop to the floor, take cover under a sturdy table, and hold on right now.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Action required: crawl under the smoke to reach the nearest safe exit before the situation worsens.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please take the left exit door and go down the stairs slowly right now.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you turn off the main gas valve and evacuate the premises and help others if you can.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Attention: cover your nose and mouth with a wet cloth and stay low to the ground as instructed.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: You must do not drink the tap water, use bottled water instead while waiting for responders.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately move away from the windows and find a secure room carefully.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Please apply direct pressure to the wound and elevate the injured area without panicking.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, turn off the main gas valve and evacuate the premises and stay calm.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please check for breathing and begin cpr if necessary immediately.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Wear protective equipment before approaching the spill while remaining calm.",Wear Protection. Spill.
"Simplify this emergency instruction into concise, actionable phrases: Attention: activate the fire alarm on your way out of the corridor as instructed.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you turn off the main gas valve and evacuate the premises without panicking.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Warning: apply direct pressure to the wound and elevate the injured area and stay calm.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please use the fire extinguisher on the base of the flames without panicking.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Action required: lock the doors, turn off the lights, and remain silent right now.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: crawl under the smoke to reach the nearest safe exit.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Warning: leave your belongings behind and evacuate the building immediately carefully.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Evacuate the area immediately and watch for falling debris without delay.",Evacuate. Avoid Debris.
"Simplify this emergency instruction into concise, actionable phrases: Action required: drop to the floor, take cover under a sturdy table, and hold on as instructed.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please stay away from electrical outlets and avoid using wired devices without panicking.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you crawl under the smoke to reach the nearest safe exit before the situation worsens.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to stay inside your vehicle and wait for emergency responders before the situation worsens.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please move to higher ground immediately to avoid the floodwaters immediately.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Close the door behind you to slow the spread of fire without delay.",Close Door. Slow Fire.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately turn off the main gas valve and evacuate the premises as soon as possible.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please crawl under the smoke to reach the nearest safe exit while waiting for responders.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Quickly stay away from electrical outlets and avoid using wired devices right now.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you crawl under the smoke to reach the nearest safe exit carefully.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Kindly lock the doors, turn off the lights, and remain silent to ensure your safety.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Quickly drop to the floor, take cover under a sturdy table, and hold on while waiting for responders.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to move away from the windows and find a secure room and help others if you can.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to crawl under the smoke to reach the nearest safe exit immediately.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, take the left exit door and go down the stairs slowly while waiting for responders.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: take the left exit door and go down the stairs slowly.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: stay inside your vehicle and wait for emergency responders right now.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, leave your belongings behind and evacuate the building immediately as soon as possible.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to cover your nose and mouth with a wet cloth and stay low to the ground right now.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Action required: find a safe place to hide and stay quiet until help arrives as instructed.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please do not drink the tap water, use bottled water instead to ensure your safety.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: You must move away from the windows and find a secure room and help others if you can.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Quickly stay away from electrical outlets and avoid using wired devices while waiting for responders.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to leave your belongings behind and evacuate the building immediately before the situation worsens.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to take the left exit door and go down the stairs slowly as soon as possible.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: drop to the floor, take cover under a sturdy table, and hold on carefully.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please move away from the windows and find a secure room before the situation worsens.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Quickly use the fire extinguisher on the base of the flames carefully.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Leave the building immediately and avoid using electrical switches if it is safe to do so.",Leave Building. No Switches.
"Simplify this emergency instruction into concise, actionable phrases: Call emergency medical services immediately and begin CPR if the victim is unresponsive.",Call Emergency. CPR.
"Simplify this emergency instruction into concise, actionable phrases: Warning: leave your belongings behind and evacuate the building immediately while waiting for responders.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Please do not use the elevators, use the emergency fire stairs as soon as possible.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to call an ambulance and wait outside for them to arrive immediately.",Call Ambulance. Wait Outside.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you cover your nose and mouth with a wet cloth and stay low to the ground before the situation worsens.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to move away from the windows and find a secure room as soon as possible.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: cover your nose and mouth with a wet cloth and stay low to the ground.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: You must take the left exit door and go down the stairs slowly and stay calm.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Close the door behind you to slow the spread of fire as quickly as possible.",Close Door. Slow Fire.
"Simplify this emergency instruction into concise, actionable phrases: You must activate the fire alarm on your way out of the corridor carefully.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Call emergency medical services immediately and begin CPR if the victim is unresponsive while remaining calm.",Call Emergency. CPR.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately check for breathing and begin cpr if necessary to ensure your safety.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you take the left exit door and go down the stairs slowly and help others if you can.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, turn off the main gas valve and evacuate the premises immediately.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you lock the doors, turn off the lights, and remain silent immediately.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to turn off the main gas valve and evacuate the premises and stay calm.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you secure all loose objects and stay away from glass panels.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Keep the injured person still and monitor breathing as quickly as possible.",Keep Still. Monitor Breathing.
"Simplify this emergency instruction into concise, actionable phrases: Warning: move to higher ground immediately to avoid the floodwaters and stay calm.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you cover your nose and mouth with a wet cloth and stay low to the ground as instructed.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please cover your nose and mouth with a wet cloth and stay low to the ground and help others if you can.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Attention: cover your nose and mouth with a wet cloth and stay low to the ground immediately.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Quickly leave your belongings behind and evacuate the building immediately immediately.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Kindly lock the doors, turn off the lights, and remain silent and help others if you can.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you do not drink the tap water, use bottled water instead without panicking.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: cover your nose and mouth with a wet cloth and stay low to the ground carefully.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Please use the fire extinguisher on the base of the flames as soon as possible.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Quickly turn off the main gas valve and evacuate the premises as soon as possible.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Please check for breathing and begin cpr if necessary to ensure your safety.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Kindly lock the doors, turn off the lights, and remain silent immediately.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Kindly move away from the windows and find a secure room and stay calm.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Action required: crawl under the smoke to reach the nearest safe exit while waiting for responders.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: take the left exit door and go down the stairs slowly and stay calm.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Quickly use the fire extinguisher on the base of the flames.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: After the shaking ends, evacuate using the stairs while remaining calm.",Shaking Stops. Exit. Stairs.
"Simplify this emergency instruction into concise, actionable phrases: You must cover your nose and mouth with a wet cloth and stay low to the ground before the situation worsens.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: cover your nose and mouth with a wet cloth and stay low to the ground as instructed.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please stay away from electrical outlets and avoid using wired devices as instructed.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, do not drink the tap water, use bottled water instead without panicking.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Activate the fire alarm before evacuating the building as quickly as possible.",Fire Alarm. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately cover your nose and mouth with a wet cloth and stay low to the ground without panicking.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: You must turn off the main gas valve and evacuate the premises carefully.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you stay away from electrical outlets and avoid using wired devices before the situation worsens.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: do not use the elevators, use the emergency fire stairs without panicking.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you turn off the main gas valve and evacuate the premises.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please drop to the floor, take cover under a sturdy table, and hold on before the situation worsens.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: secure all loose objects and stay away from glass panels to ensure your safety.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to take the left exit door and go down the stairs slowly right now.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to stay inside your vehicle and wait for emergency responders immediately.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you leave your belongings behind and evacuate the building immediately as instructed.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please find a safe place to hide and stay quiet until help arrives while waiting for responders.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Kindly stay inside your vehicle and wait for emergency responders as soon as possible.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you do not use the elevators, use the emergency fire stairs to ensure your safety.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Warning: leave your belongings behind and evacuate the building immediately as soon as possible.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Close the door behind you to slow the spread of fire following emergency procedures.",Close Door. Slow Fire.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to do not drink the tap water, use bottled water instead carefully.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Warning: stay inside your vehicle and wait for emergency responders right now.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, do not drink the tap water, use bottled water instead and stay calm.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you stay inside your vehicle and wait for emergency responders carefully.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: lock the doors, turn off the lights, and remain silent as instructed.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Attention: find a safe place to hide and stay quiet until help arrives.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Quickly move to higher ground immediately to avoid the floodwaters to ensure your safety.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: You must turn off the main gas valve and evacuate the premises immediately.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Run away from the attacker if a safe escape route is available as quickly as possible.",Run. Escape.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to turn off the main gas valve and evacuate the premises to ensure your safety.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you do not drink the tap water, use bottled water instead.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: You must leave your belongings behind and evacuate the building immediately before the situation worsens.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to secure all loose objects and stay away from glass panels carefully.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please leave your belongings behind and evacuate the building immediately carefully.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Warning: turn off the main gas valve and evacuate the premises while waiting for responders.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you apply direct pressure to the wound and elevate the injured area to ensure your safety.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Kindly cover your nose and mouth with a wet cloth and stay low to the ground while waiting for responders.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please apply direct pressure to the wound and elevate the injured area as soon as possible.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to secure all loose objects and stay away from glass panels.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Please activate the fire alarm on your way out of the corridor while waiting for responders.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately apply direct pressure to the wound and elevate the injured area and help others if you can.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you secure all loose objects and stay away from glass panels while waiting for responders.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Attention: apply direct pressure to the wound and elevate the injured area and help others if you can.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately cover your nose and mouth with a wet cloth and stay low to the ground immediately.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Move immediately to higher ground and avoid walking through floodwater following emergency procedures.",Higher Ground. Avoid Floodwater.
"Simplify this emergency instruction into concise, actionable phrases: Quickly move away from the windows and find a secure room and help others if you can.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Please turn off the main gas valve and evacuate the premises as soon as possible.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Action required: turn off the main gas valve and evacuate the premises as instructed.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Quickly move away from the windows and find a secure room right now.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Warning: do not use the elevators, use the emergency fire stairs while waiting for responders.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Action required: move to higher ground immediately to avoid the floodwaters before the situation worsens.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you move to higher ground immediately to avoid the floodwaters and stay calm.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to stay inside your vehicle and wait for emergency responders.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you turn off the main gas valve and evacuate the premises before the situation worsens.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Warning: lock the doors, turn off the lights, and remain silent and help others if you can.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Kindly do not drink the tap water, use bottled water instead before the situation worsens.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: do not drink the tap water, use bottled water instead without panicking.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Quickly take the left exit door and go down the stairs slowly as soon as possible.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you check for breathing and begin cpr if necessary as soon as possible.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Make sure you find a safe place to hide and stay quiet until help arrives without panicking.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Warning: move to higher ground immediately to avoid the floodwaters immediately.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Warning: drop to the floor, take cover under a sturdy table, and hold on immediately.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, turn off the main gas valve and evacuate the premises before the situation worsens.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, find a safe place to hide and stay quiet until help arrives right now.",Hide. Stay Quiet.
"Simplify this emergency instruction into concise, actionable phrases: Hide in a secure room and silence your mobile phone.",Hide. Silence Phone.
"Simplify this emergency instruction into concise, actionable phrases: You must move away from the windows and find a secure room without panicking.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Quickly take the left exit door and go down the stairs slowly immediately.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: Kindly do not use the elevators, use the emergency fire stairs to ensure your safety.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: crawl under the smoke to reach the nearest safe exit without panicking.",Crawl Under Smoke. Find Exit.
"Simplify this emergency instruction into concise, actionable phrases: Attention: move away from the windows and find a secure room right now.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to check for breathing and begin cpr if necessary carefully.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Action required: move to higher ground immediately to avoid the floodwaters while waiting for responders.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, cover your nose and mouth with a wet cloth and stay low to the ground without panicking.",Cover Nose. Stay Low.
"Simplify this emergency instruction into concise, actionable phrases: Kindly do not drink the tap water, use bottled water instead carefully.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Action required: do not drink the tap water, use bottled water instead and help others if you can.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Warning: apply direct pressure to the wound and elevate the injured area while waiting for responders.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Quickly secure all loose objects and stay away from glass panels as soon as possible.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, do not use the elevators, use the emergency fire stairs as instructed.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Attention: leave your belongings behind and evacuate the building immediately carefully.",Leave Belongings. Evacuate Now.
"Simplify this emergency instruction into concise, actionable phrases: Kindly check for breathing and begin cpr if necessary right now.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you turn off the main gas valve and evacuate the premises right now.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to turn off the main gas valve and evacuate the premises while waiting for responders.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to drop to the floor, take cover under a sturdy table, and hold on.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Evacuate the contaminated area and avoid direct contact with the chemical if it is safe to do so.",Evacuate. Avoid Contact.
"Simplify this emergency instruction into concise, actionable phrases: Warning: apply direct pressure to the wound and elevate the injured area as instructed.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, stay away from electrical outlets and avoid using wired devices and stay calm.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Action required: take the left exit door and go down the stairs slowly and help others if you can.",Left. Exit. Stairs. Slowly.
"Simplify this emergency instruction into concise, actionable phrases: For your safety, please use the fire extinguisher on the base of the flames as instructed.",Extinguish Fire. Aim at Base.
"Simplify this emergency instruction into concise, actionable phrases: Right now, you need to activate the fire alarm on your way out of the corridor.",Activate Alarm. Exit Corridor.
"Simplify this emergency instruction into concise, actionable phrases: Emergency: do not drink the tap water, use bottled water instead as soon as possible.",No Tap Water. Use Bottled.
"Simplify this emergency instruction into concise, actionable phrases: Attention: stay inside your vehicle and wait for emergency responders without panicking.",Stay In Vehicle. Wait.
"Simplify this emergency instruction into concise, actionable phrases: Drop to the ground, take cover under a sturdy table, and hold on until the shaking stops following emergency procedures.",Drop. Cover. Hold.
